,k
0,1.0003
1,0.7741
2,0.8376100000000001
3,0.8715200000000001
4,1.0006
5,1.0014
6,0.87766
7,1.0002
8,1.0011
9,0.8708899999999999
10,0.99885
11,1.0006
12,0.99816
13,0.99925
14,1.0015
15,0.9996700000000001
16,0.99779
17,1.001
18,0.9998799999999999
19,0.8512200000000001
20,1.001
21,1.0001
22,0.8013399999999999
23,0.83731
24,1.0004
25,1.0002
26,1.0004
27,1.0007
28,0.85774
29,0.8299799999999999
30,0.8831600000000001
31,1.0008
32,0.7673800000000001
33,0.9979
34,0.99884
35,0.83035
36,0.99954
37,1.0012
38,1.0009
39,0.86539
40,1.0003
41,1.001
42,1.0011
43,1.0007
44,1.0009
45,0.9225899999999999
46,1.0001
47,0.9956299999999999
48,0.9990399999999999
49,0.99824
50,0.86539
51,1.0013
52,0.99872
53,0.99995
54,0.8668899999999999
55,0.97862
56,0.9992700000000001
57,0.82668
58,0.99977
59,0.79156
60,0.99876
61,0.8717799999999999
62,0.82496
63,0.99936
64,0.7974899999999999
65,0.9995700000000001
66,0.9996299999999999
67,0.99941
68,1.0001
69,0.9998100000000001
70,0.9991
71,0.99949
72,1.0012
73,0.82375
74,1.001
75,1.0005
76,0.9207799999999999
77,0.80683
78,0.8507899999999999
79,0.88926
80,0.76668
81,0.80379
82,0.8604200000000001
83,0.9980700000000001
84,0.9996
85,0.8623
86,0.91556
87,0.9024
88,0.76425
89,0.88087
90,0.9986200000000001
91,1.0004
92,1.001
93,0.8857
94,1.0002
95,0.99826
96,1.0014
97,0.88371
98,0.90659
99,0.99989
100,0.87349
101,0.9989600000000001
102,0.78952
103,0.8894
104,0.82042
105,0.81279
106,0.78782
107,0.80466
108,0.8570700000000001
109,0.9529799999999999
110,0.9986799999999999
111,0.83491
112,0.8841600000000001
113,0.85606
114,1.0004
115,0.99956
116,0.99928
117,0.9993200000000001
118,0.8442
119,0.7904
120,0.86487
121,0.8398200000000001
122,1.0004
123,1.0016
124,0.99987
125,0.8907299999999999
126,0.99854
127,0.8225299999999999
128,0.82115
129,0.9983200000000001
130,1.0004
131,1.0014
132,0.8290000000000001
133,1.0002
134,0.99929
135,1.0002
136,0.9455
137,0.8185100000000001
138,0.9205700000000001
139,0.88115
140,0.8615200000000001
141,0.74263
142,0.88975
143,0.9996299999999999
144,0.81672
145,0.94821
146,1.0005
147,1.0003
148,0.99824
149,1.0002
150,0.99959
151,0.94847
152,0.99984
153,0.99931
154,1.0022
155,0.81486
156,0.9715799999999999
157,0.92495
158,0.99956
159,0.85314
160,0.99972
161,1.0006
162,0.84931
163,1.0014
164,0.9990899999999999
165,0.8559899999999999
166,0.99836
167,0.99976
168,0.8352200000000001
169,0.96119
170,0.9998600000000001
171,0.8588399999999999
172,0.8771100000000001
173,0.88705
174,0.7468899999999999
175,0.86336
176,0.79179
177,0.8468600000000001
178,0.8181
179,1.0006
180,0.8882200000000001
181,0.93376
182,0.9984
183,0.8531799999999999
184,0.9984
185,0.8368
186,0.9986200000000001
187,1.0004
188,1.0005
189,1.0007
190,0.99879
191,0.9191799999999999
192,1.002
193,1.0008
194,0.9988299999999999
195,1.0001
196,1.0003
197,0.8259299999999999
198,1.0017
199,0.85372
200,0.9990899999999999
201,0.8628899999999999
202,1.0005
203,0.79852
204,1.0008
205,0.99887
206,0.86585
207,0.9979299999999999
208,0.77876
209,0.82273
210,0.99813
211,0.96068
212,0.99961
213,0.99934
214,0.96945
215,0.8479200000000001
216,0.9988
217,1.001
218,0.9996200000000001
219,0.86049
220,0.89228
221,0.80096
222,0.99998
223,0.87976
224,0.8755799999999999
225,0.8257200000000001
226,1.0014
227,1.0002
228,0.9991700000000001
229,0.75571
230,1.0004
231,1.001
232,1.0006
233,0.8965
234,1.0003
235,0.85069
236,0.87231
237,0.80378
238,0.99997
239,0.80479
240,0.94344
241,0.9999600000000001
242,1.0011
243,0.9999600000000001
244,0.80361
245,0.8349799999999999
246,0.99816
247,0.8276600000000001
248,1.0007
249,0.92305
250,0.8946200000000001
251,0.9051299999999999
252,0.85764
253,0.8137800000000001
254,1.0002
255,0.9998299999999999
256,1.0002
257,0.99961
258,1.0001
259,1.0008
260,0.9991700000000001
261,0.8946799999999999
262,0.9996
263,1.0004
264,1.0003
265,1.0012
266,1.001
267,0.8534299999999999
268,0.99955
269,0.99882
270,0.99974
271,1.0007
272,1.0005
273,0.9996700000000001
274,0.99851
275,0.99879
276,0.867
277,0.99849
278,0.8918299999999999
279,1.0011
280,0.7935
281,0.84916
282,1.0004
283,0.85731
284,0.75659
285,1.0019
286,1.0004
287,0.87907
288,0.8009999999999999
289,1.0005
290,1.0011
291,0.9999299999999999
292,0.8642799999999999
293,0.89779
294,0.81101
295,0.89231
296,1.0003
297,0.8407899999999999
298,1.001
299,0.84808
300,0.9993200000000001
301,1.0004
302,0.9990100000000001
303,0.7682
304,0.99939
305,0.99851
306,0.99913
307,0.846
308,0.99985
309,1.0007
310,0.9986700000000001
311,0.7955399999999999
312,0.99945
313,0.9993700000000001
314,0.8648600000000001
315,0.99918
316,0.9989399999999999
317,0.87851
318,1.0009
319,1.0002
320,0.8053
321,1.0009
322,0.8740000000000001
323,1.0004
324,0.9999
325,0.85059
326,1.0021
327,1.0003
328,0.81691
329,1.0015
330,0.85203
331,0.8654
332,1.0011
333,0.99754
334,0.8177399999999999
335,0.78008
336,0.87618
337,0.8451700000000001
338,0.80182
339,0.99975
340,0.8389200000000001
341,0.99982
342,0.99995
343,0.8252799999999999
344,0.8793700000000001
345,0.99879
346,0.8846299999999999
347,0.80402
348,1.0005
349,0.89636
350,0.8652700000000001
351,1.0001
352,0.85224
353,1.0005
354,0.89513
355,1.0007
356,0.8492299999999999
357,1.001
358,1.0004
359,1.0015
360,1.0011
361,0.9993799999999999
362,0.9161799999999999
363,0.8329
364,1.0003
365,0.80904
366,1.001
367,1.0017
368,0.83076
369,0.99959
370,1.001
371,0.8832700000000001
372,0.87241
373,0.9989
374,0.87528
375,0.9995
376,0.99898
377,0.9990000000000001
378,0.89995
379,1.0013
380,0.9989600000000001
381,1.0013
382,0.9353600000000001
383,0.8426899999999999
384,0.87223
385,0.9993700000000001
386,0.82273
387,0.9990399999999999
388,1.0004
389,0.8469200000000001
390,0.9998799999999999
391,0.88726
392,1.0009
393,0.9590000000000001
394,0.88295
395,0.82434
396,0.83591
397,0.89365
398,0.8425600000000001
399,0.82536
400,0.86003
401,0.71642
402,0.9993200000000001
403,1.0007
404,1.0002
405,0.91635
406,0.99977
407,0.8123199999999999
408,0.90051
409,0.85325
410,1.0002
411,0.9000799999999999
412,0.77709
413,1.0018
414,0.87856
415,0.99961
416,1.0001
417,0.88918
418,1.0018
419,0.8585799999999999
420,0.99774
421,0.83119
422,0.99844
423,1.0007
424,0.9689200000000001
425,0.86944
426,0.74287
427,0.9123399999999999
428,0.84019
429,0.8299799999999999
430,0.89256
431,0.9446100000000001
432,0.9999600000000001
433,0.99944
434,0.81095
435,0.9983700000000001
436,0.81785
437,0.99882
438,0.9093
439,0.99929
440,1.0003
441,0.83054
442,0.8553
443,0.75179
444,1.0002
445,1.0004
446,0.9995
447,0.80152
448,0.7661899999999999
449,1.0003
450,1.0006
451,1.0018
452,0.83315
453,0.8616799999999999
454,0.86829
455,0.99913
456,0.8664200000000001
457,0.8404299999999999
458,0.7492
459,0.81092
460,0.9166700000000001
461,0.9993299999999999
462,1.0005
463,1.0008
464,1.0001
465,0.9990399999999999
466,0.8263299999999999
467,0.9991899999999999
468,0.99998
469,0.78684
470,0.8392799999999999
471,0.9468200000000001
472,0.88364
473,1.0009
474,1.0004
475,0.83605
476,0.83745
477,0.9995
478,1.0003
479,0.78345
480,0.9996799999999999
481,0.9009299999999999
482,0.8891
483,0.8195100000000001
484,0.90785
485,1.0012
486,1.0013
487,0.99955
488,0.9997299999999999
489,1.0013
490,0.90995
491,0.77547
492,0.9991200000000001
493,1.0003
494,0.8693
495,0.94821
496,1.0005
497,0.9998600000000001
498,0.9996
499,1.0007
500,0.95199
501,1.0003
502,0.89999
503,0.99915
504,1.0
505,0.89464
506,0.8882700000000001
507,0.9995799999999999
508,0.99998
509,0.78487
510,1.0004
511,0.8624
512,0.8533200000000001
513,0.8751700000000001
514,1.0019
515,0.91645
516,0.8931
517,1.0
518,0.84536
519,0.8225100000000001
520,0.9996700000000001
521,1.0012
522,0.8344799999999999
523,1.0008
524,0.8854
525,0.90391
526,0.9999299999999999
527,0.8235
528,0.9989100000000001
529,0.79177
530,0.96344
531,0.87374
532,0.9998100000000001
533,0.87982
534,0.87013
535,0.82131
536,0.9997
537,0.99874
538,0.8652200000000001
539,0.9998299999999999
540,0.7619
541,0.82894
542,0.99966
543,0.83581
544,0.9998299999999999
545,1.0004
546,1.0005
547,0.83594
548,1.0005
549,0.9996299999999999
550,1.0
551,0.8396299999999999
552,0.91045
553,1.0006
554,0.99915
555,0.8495
556,0.8567100000000001
557,0.99925
558,0.84495
559,0.8259799999999999
560,0.81212
561,0.79835
562,1.0001
563,0.9056200000000001
564,1.0014
565,1.0011
566,0.8611700000000001
567,0.9991399999999999
568,1.0003
569,0.89691
570,0.8445799999999999
571,0.81857
572,0.84078
573,0.99845
574,0.9590000000000001
575,0.8788600000000001
576,1.0005
577,0.8608399999999999
578,0.99898
579,0.8275
580,0.99966
581,1.0007
582,0.8318700000000001
583,0.998
584,0.90905
585,0.8478600000000001
586,0.8905200000000001
587,1.0012
588,1.0022
589,1.0016
590,0.83931
591,0.8770600000000001
592,0.7834300000000001
593,0.84109
594,0.77713
595,0.9222
596,0.8457
597,0.93484
598,1.0001
599,1.0002
600,0.86049
601,0.78545
602,0.96436
603,1.0001
604,0.998
605,0.86656
606,0.99784
607,0.9998
608,0.9177200000000001
609,1.0013
610,0.89859
611,0.99979
612,1.0008
613,1.0002
614,0.9993200000000001
615,0.81643
616,0.84993
617,1.0003
618,0.99751
619,0.99972
620,1.0005
621,0.79245
622,0.9989399999999999
623,0.9995799999999999
624,0.8640899999999999
625,0.91233
626,1.0003
627,0.84985
628,1.0003
629,0.99984
630,1.0003
631,1.0015
632,1.0003
633,1.0003
634,0.99887
635,0.9999100000000001
636,0.7572300000000001
637,1.0007
638,0.99976
639,0.99971
640,1.0003
641,1.0005
642,0.9990600000000001
643,0.81404
644,0.9106700000000001
645,0.82299
646,0.8992600000000001
647,1.001
648,1.0001
649,0.7734
650,0.87541
651,1.0001
652,1.0001
653,1.0005
654,0.8183199999999999
655,0.95683
656,1.0011
657,0.86495
658,0.81539
659,0.9990899999999999
660,0.9998799999999999
661,1.0008
662,0.7993899999999999
663,0.8765700000000001
664,1.0005
665,0.91512
666,0.8626799999999999
667,0.99849
668,0.88513
669,0.88334
670,0.99916
671,0.99975
672,0.86444
673,0.99972
674,1.0016
675,1.0006
676,0.9087700000000001
677,0.99979
678,0.81607
679,0.87156
680,0.81216
681,0.8125600000000001
682,1.0002
683,0.80915
684,0.7289899999999999
685,0.74106
686,0.8339200000000001
687,0.9998600000000001
688,0.8378
689,0.86513
690,1.0004
691,0.9428
692,0.87945
693,0.9978600000000001
694,1.0001
695,1.0007
696,1.0004
697,1.0
698,1.0012
699,0.80791
700,0.82504
701,0.85354
702,1.0013
703,1.0009
704,0.83137
705,0.99911
706,1.0003
707,0.8527299999999999
708,0.80215
709,0.9994200000000001
710,0.86205
711,0.878
712,1.0004
713,1.0003
714,0.99959
715,0.82145
716,0.99921
717,0.9998600000000001
718,0.8368700000000001
719,1.0004
720,1.0016
721,0.9224399999999999
722,0.91079
723,0.9996
724,0.99975
725,0.9988
726,0.9997
727,1.0004
728,0.99877
729,0.82939
730,0.9587100000000001
731,0.9066200000000001
732,0.99945
733,1.0007
734,1.0017
735,0.99898
736,0.8917200000000001
737,0.8719600000000001
738,0.97954
739,0.84054
740,1.0018
741,0.99956
742,1.0006
743,0.9995
744,0.99882
745,1.0001
746,0.8019
747,0.81476
748,0.8602299999999999
749,0.82978
750,1.001
751,0.9996200000000001
752,0.89702
753,0.78108
754,0.76136
755,0.9993700000000001
756,0.7960699999999999
757,0.9995700000000001
758,0.80684
759,0.82294
760,0.7793800000000001
761,0.8683700000000001
762,1.0003
763,0.80102
764,0.9998799999999999
765,0.84211
766,0.7892899999999999
767,0.9142
768,0.9992
769,0.8713299999999999
770,1.0001
771,1.0004
772,0.95676
773,1.0007
774,1.0005
775,0.77842
776,0.9993700000000001
777,0.9991
778,0.89561
779,0.8475799999999999
780,0.9997799999999999
781,0.76913
782,1.0002
783,0.9994799999999999
784,0.79227
785,0.8514700000000001
786,0.94465
787,0.8358399999999999
788,0.9985299999999999
789,0.9996299999999999
790,0.9994799999999999
791,1.0012
792,0.9990700000000001
793,0.8297700000000001
794,1.0008
795,0.9559200000000001
796,0.8429700000000001
797,0.8732
798,0.8583700000000001
799,1.0007
800,0.8666
801,0.8245299999999999
802,0.7758
803,1.0009
804,0.8820899999999999
805,0.83435
806,0.8531
807,0.78056
808,0.79293
809,1.0002
810,0.87529
811,0.9360299999999999
812,0.8678600000000001
813,0.99903
814,1.0008
815,0.86144
816,0.83242
817,0.99975
818,0.9995799999999999
819,0.8602200000000001
820,0.99974
821,0.8639100000000001
822,1.0001
823,0.99829
824,1.0006
825,0.84205
826,0.82404
827,0.8247399999999999
828,0.99835
829,1.0002
830,0.8516799999999999
831,0.9990899999999999
832,0.85104
833,0.91185
834,0.91005
835,1.0002
836,1.0
837,0.8877299999999999
838,0.99849
839,1.0
840,0.9996
841,0.99972
842,0.8578899999999999
843,0.91605
844,0.99972
845,1.0008
846,0.99931
847,0.8741
848,0.9194899999999999
849,0.9993200000000001
850,0.8006
851,0.9119700000000001
852,1.0001
853,1.0006
854,1.0001
855,0.9984700000000001
856,0.99825
857,1.0002
858,0.90717
859,0.9368799999999999
860,0.8529
861,0.9118700000000001
862,0.99961
863,0.99946
864,0.8257399999999999
865,1.0005
866,1.0008
867,0.9992
868,0.82768
869,0.91115
870,0.9999299999999999
871,1.0003
872,0.92375
873,1.0
874,1.0014
875,0.9992200000000001
876,0.8885799999999999
877,1.0003
878,1.0007
879,0.8072600000000001
880,0.92268
881,1.0006
882,0.99992
883,0.99774
884,0.8919299999999999
885,1.0007
886,0.79625
887,0.79187
888,1.0002
889,1.0002
890,0.84839
891,1.0019
892,0.87839
893,0.80406
894,1.0001
895,1.0007
896,0.9998100000000001
897,0.8649700000000001
898,0.9996700000000001
899,0.99931
900,0.9399700000000001
901,1.0001
902,1.001
903,0.9983799999999999
904,1.0015
905,0.8568899999999999
906,0.80388
907,0.9021399999999999
908,0.84336
909,1.0012
910,1.0019
911,0.8210799999999999
912,1.0016
913,0.87445
914,0.99984
915,1.0003
916,0.99934
917,0.8895
918,0.7942600000000001
919,1.0009
920,1.0004
921,0.9988
922,1.0005
923,0.8253299999999999
924,0.9997
925,1.0005
926,0.8832899999999999
927,0.7829699999999999
928,0.99887
929,1.0006
930,0.99784
931,0.8242
932,0.91028
933,1.0008
934,0.73748
935,0.69655
936,1.0
937,0.82134
938,0.94473
939,1.0001
940,0.99865
941,0.75655
942,0.9085200000000001
943,0.8135
944,0.89815
945,0.99926
946,0.91138
947,0.86531
948,1.0019
949,0.8398200000000001
950,1.0013
951,1.0013
952,1.0018
953,1.0002
954,0.86823
955,0.99949
956,0.8487600000000001
957,0.9999899999999999
958,0.9288299999999999
959,0.89295
960,0.9106200000000001
961,1.0002
962,0.8475799999999999
963,0.8033399999999999
964,0.7731600000000001
965,1.0015
966,0.94321
967,0.75374
968,0.81392
969,0.89495
970,1.0025
971,0.8656299999999999
972,1.0009
973,0.99976
974,0.79084
975,0.98161
976,0.8460200000000001
977,0.8329700000000001
978,0.82786
979,0.93101
980,0.8264799999999999
981,0.9998
982,1.0008
983,0.86606
984,0.83152
985,0.8431700000000001
986,1.0007
987,0.8624200000000001
988,0.99946
989,0.9982
990,1.0014
991,0.99987
992,0.7996300000000001
993,1.0006
994,0.77712
995,0.99918
996,1.0003
997,0.8079
998,1.0001
999,0.8266399999999999
1000,0.9993299999999999
1001,1.0011
1002,0.99992
1003,0.86001
1004,0.82894
1005,1.0003
1006,1.0003
1007,0.87959
1008,0.8414799999999999
1009,0.84345
1010,1.0004
1011,0.99936
1012,0.8815799999999999
1013,0.80109
1014,1.001
1015,0.88856
1016,1.0004
1017,0.88986
1018,0.81798
1019,0.9993
1020,1.0005
1021,0.9991200000000001
1022,1.0014
1023,0.89046
1024,0.9988
1025,1.0008
1026,1.0004
1027,0.89079
1028,0.81809
1029,0.8157399999999999
1030,0.88151
1031,1.0001
1032,0.8343700000000001
1033,0.9071
1034,0.99879
1035,0.83829
1036,0.9990399999999999
1037,0.8495799999999999
1038,0.87035
1039,0.8559399999999999
1040,0.78357
1041,0.8566600000000001
1042,0.8461799999999999
1043,0.9995700000000001
1044,0.86161
1045,0.99959
1046,0.9999
1047,0.99975
1048,0.84395
1049,0.7589
1050,0.99966
1051,0.73659
1052,0.8295399999999999
1053,0.82321
1054,0.83186
1055,0.9988799999999999
1056,0.8448200000000001
1057,0.78767
1058,0.92019
1059,0.82619
1060,0.86167
1061,0.7974100000000001
1062,0.89807
1063,0.94283
1064,0.8801899999999999
1065,0.87305
1066,0.8824
1067,0.99859
1068,0.81697
1069,0.99945
1070,0.99954
1071,1.0016
1072,1.0008
1073,1.0006
1074,0.99775
1075,0.9990700000000001
1076,0.80138
1077,0.9996
1078,0.89118
1079,0.9990700000000001
1080,0.8573
1081,0.88433
1082,0.99961
1083,1.0007
1084,0.9992700000000001
1085,0.85329
1086,1.0008
1087,1.002
1088,1.0012
1089,0.76418
1090,0.7674300000000001
1091,0.9995799999999999
1092,0.99765
1093,1.0002
1094,1.0003
1095,1.0027
1096,0.8527
1097,0.75446
1098,1.0008
1099,0.99759
1100,0.86446
1101,0.99972
1102,0.87236
1103,0.84914
1104,0.9991899999999999
1105,0.99918
1106,0.80181
1107,0.8574799999999999
1108,0.8466100000000001
1109,0.85634
1110,0.8491200000000001
1111,0.9004200000000001
1112,1.0007
1113,0.9999600000000001
1114,0.83878
1115,0.8215100000000001
1116,0.99955
1117,0.7802
1118,0.8216899999999999
1119,0.9995299999999999
1120,0.84555
1121,0.7925800000000001
1122,0.89751
1123,1.001
1124,0.80829
1125,0.87211
1126,1.0009
1127,0.86261
1128,0.8516600000000001
1129,0.90527
1130,0.86951
1131,0.88889
1132,0.76376
1133,0.9812799999999999
1134,0.9997
1135,0.8465299999999999
1136,1.0006
1137,0.87256
1138,0.8261700000000001
1139,0.80801
1140,0.82258
1141,0.74897
1142,1.0013
1143,1.0016
1144,1.0003
1145,1.0004
1146,1.0009
1147,0.99972
1148,1.0008
1149,0.8251700000000001
1150,1.0001
1151,0.82836
1152,1.0016
1153,0.8620899999999999
1154,0.9993299999999999
1155,0.99977
1156,0.84231
1157,0.86231
1158,0.8888
1159,0.9999899999999999
1160,0.87682
1161,0.80615
1162,0.99939
1163,0.88613
1164,1.0006
1165,0.9169299999999999
1166,0.8387399999999999
1167,0.85772
1168,1.0
1169,1.0004
1170,0.8294299999999999
1171,0.80858
1172,1.0002
1173,0.8389
1174,0.8822
1175,0.8771899999999999
1176,1.0001
1177,1.0001
1178,0.99956
1179,0.86013
1180,0.99802
1181,0.85706
1182,0.8055100000000001
1183,1.0002
1184,0.9999399999999999
1185,0.88129
1186,0.9934799999999999
1187,1.0007
1188,0.9976
1189,0.9996700000000001
1190,0.8700899999999999
1191,0.9996200000000001
1192,1.0017
1193,0.9995299999999999
1194,0.8373200000000001
1195,0.80823
1196,0.99856
1197,0.8623799999999999
1198,0.7781399999999999
1199,0.81381
1200,0.8206700000000001
1201,1.0006
1202,1.0007
1203,0.94514
1204,0.9983299999999999
1205,0.99045
1206,0.9176
1207,0.99982
1208,1.0002
1209,0.99845
1210,0.88308
1211,0.8238700000000001
1212,0.99964
1213,0.99946
1214,1.0001
1215,0.99966
1216,0.8438200000000001
1217,1.0009
1218,1.0008
1219,0.82075
1220,1.0011
1221,0.83995
1222,0.9989299999999999
1223,0.8913399999999999
1224,0.8557
1225,0.81165
1226,0.99997
